,country,cases
516,Uganda,0
517,Ukraine,0
518,United Arab Emirates,0
519,United Kingdom,0
520,United Kingdom,0
521,United Kingdom,0
522,United Kingdom,0
523,United Kingdom,0
509,Thailand,3
524,United Kingdom,0
526,United Kingdom,0
527,United Kingdom,0
528,United Kingdom,0
529,United Kingdom,0
530,Uruguay,0
531,Uzbekistan,0
532,Vanuatu,0
533,Venezuela,0
534,Vietnam,2
535,West Bank and Gaza,0
536,Western Sahara,0
537,Yemen,0
538,Zambia,0
406,Guinea,0
525,United Kingdom,0
508,Tanzania,0
507,Tajikistan,0
506,Taiwan,1
475,Philippines,0
476,Poland,0
477,Portugal,0
478,Qatar,0
479,Romania,0
480,Russia,0
481,Rwanda,0
482,Saint Kitts and Nevis,0
483,Saint Lucia,0
484,Saint Vincent and the Grenadines,0
485,San Marino,0
486,Sao Tome and Principe,0
487,Saudi Arabia,0
488,Senegal,0
489,Serbia,0
490,Seychelles,0
491,Sierra Leone,0
505,Syria,0
504,Switzerland,0
503,Sweden,0
502,Suriname,0
501,Sudan,0
500,Sri Lanka,0
473,Paraguay,0
499,Spain,0
497,South Africa,0
496,Somalia,0
495,Solomon Islands,0
494,Slovenia,0
493,Slovakia,0
492,Singapore,1
498,South Sudan,0
405,Guatemala,0
337,China,2
403,Greece,0
303,Burkina Faso,0
305,Burundi,0
306,Cabo Verde,0
307,Cambodia,0
308,Cameroon,0
309,Canada,0
310,Canada,0
311,Canada,0
312,Canada,0
313,Canada,0
314,Canada,0
315,Canada,0
316,Canada,0
317,Canada,0
302,Bulgaria,0
318,Canada,0
320,Canada,0
321,Canada,0
322,Canada,0
323,Canada,0
324,Central African Republic,0
325,Chad,0
326,Chile,0
327,China,9
328,China,22
329,China,9
330,China,5
331,China,2
332,China,32
333,China,5
319,Canada,0
334,China,3
301,Brunei,0
299,Botswana,0
404,Grenada,0
270,Afghanistan,0
271,Albania,0
272,Algeria,0
273,Andorra,0
274,Angola,0
275,Antigua and Barbuda,0
276,Argentina,0
277,Armenia,0
278,Australia,0
279,Australia,0
280,Australia,0
281,Australia,0
282,Australia,0
300,Brazil,0
283,Australia,0
285,Australia,0
286,Austria,0
287,Azerbaijan,0
288,Bahamas,0
289,Bahrain,0
290,Bangladesh,0
291,Barbados,0
292,Belarus,0
293,Belgium,0
294,Belize,0
295,Benin,0
296,Bhutan,0
297,Bolivia,0
298,Bosnia and Herzegovina,0
284,Australia,0
335,China,5
304,Burma,0
401,Germany,0
372,Denmark,0
373,Diamond Princess,0
374,Djibouti,0
375,Dominica,0
376,Dominican Republic,0
377,Ecuador,0
378,Egypt,0
379,El Salvador,0
380,Equatorial Guinea,0
381,Eritrea,0
382,Estonia,0
383,Eswatini,0
385,Fiji,0
386,Finland,0
371,Denmark,0
387,France,0
389,France,0
390,France,0
391,France,0
392,France,0
393,France,0
394,France,0
395,France,0
396,France,0
397,France,0
398,Gabon,0
399,Gambia,0
400,Georgia,0
336,China,1
402,Ghana,0
388,France,0
370,Denmark,0
384,Ethiopia,0
368,Cyprus,0
351,China,6
350,China,3
349,China,0
348,China,1
347,China,2
346,China,3
352,China,16
345,China,1
343,China,5
342,China,0
341,China,9
340,China,444
369,Czechia,0
338,China,5
344,China,7
353,China,1
339,China,2
355,China,4
354,China,8
367,Cuba,0
366,Croatia,0
365,Cote d'Ivoire,0
364,Costa Rica,0
362,Congo (Brazzaville),0
363,Congo (Kinshasa),0
360,Colombia,0
359,China,27
358,China,2
357,China,2
356,China,0
361,Comoros,0
719,Mexico,0
722,Mongolia,0
721,Monaco,0
720,Moldova,0
723,Montenegro,0
718,Mauritius,0
712,Malaysia,0
716,Marshall Islands,0
715,Malta,0
714,Mali,0
713,Maldives,0
724,Morocco,0
711,Malawi,0
717,Mauritania,0
725,Mozambique,0
732,Netherlands,0
727,Nepal,0
728,Netherlands,0
729,Netherlands,0
730,Netherlands,0
731,Netherlands,0
733,New Zealand,0
734,Nicaragua,0
735,Niger,0
736,Nigeria,0
737,North Macedonia,0
738,Norway,0
739,Oman,0
740,Pakistan,0
710,Madagascar,0
726,Namibia,0
709,MS Zaandam,0
677,Guinea-Bissau,0
707,Lithuania,0
741,Panama,0
678,Guyana,0
679,Haiti,0
680,Holy See,0
681,Honduras,0
682,Hungary,0
683,Iceland,0
684,India,0
685,Indonesia,0
686,Iran,0
687,Iraq,0
688,Ireland,0
689,Israel,0
690,Italy,0
708,Luxembourg,0
691,Jamaica,0
693,Jordan,0
